,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId,score
14010,14010,14010,14010,False,,0,"Comedy,Thriller",http://www.killyourdarlingsmovie.com/,9974,tt0472118,English,Kill Your Darlings,"A desperate young writer is lured on a wild ride through the desert by a mysterious woman in this darkly comic take on the all-American road trip. Along the way they cross paths with a hapless mobster, a 6 foot transvestite and a lovesick housewife, all on the way to their celebrity TV shrink in Las Vegas... Things quickly spiral out of control into a dangerous cat-and-mouse game... a writer's frantic search for inspiration becomes intertwined with a motley crew of quirky characters seeking love and adventure at any cost.",0.313775,http://img.omdbapi.com/?i=tt0472118&h=600&apikey=f3f2af9c,,"Sweden,United_States_of_America",2006-04-12,0.0,94.0,"English,svenska",Released,,Kill Your Darlings,False,7.0,3.0,2006,"Lola-Lolita Davidovich,Geert-Alexander Skarsgård,Katherine-Julie Benz,Dr. Bangley-John Larroquette,Stevens-Greg Germann,Erik-Andreas Wilson,Officer Jones-Benito Martinez,Rock-John Savage,Ella Toscana-Terry Moore,Sunshine-Skye McCole Bartusiak,Rob Wolfton-Scott Williamson,Susan-Michelle Bonilla,Meadow-Ashlyn Sanchez,Erik's Father-Stellan Skarsgård,Dr. Ein-Don Stanton,Dr. Zwei-Dan Stanton,Cowgirl Bouncer-Cheryl Hawker,Lou-Michael Cutt,Bud-Hal Havins,Omar-Fares Fares",Björne Larson,"highway,writer,road movie,hitchhike",,,,26.055567105626242
11673,11673,11673,11673,False,,0,Horror,,27313,tt0067229,English,I Drink Your Blood,A band of satanist hippies roll into a town and begin terrorizing the local folk. They rape a local girl and her grandpa goes after them. He fails and is given LSD. This bothers his grandson and he gets back at the hippies by feeding them meat pies infected with blood from a rabid dog. They turn into crazed lunatics and begin killing and/or infecting everything in their path.,2.030342,http://img.omdbapi.com/?i=tt0067229&h=600&apikey=f3f2af9c,,United_States_of_America,1970-01-01,0.0,90.0,English,Released,,I Drink Your Blood,False,6.2,21.0,1970,"Horace Bones-Bhaskar Roy Chowdhury,Sue-Lin-Jadin Wong,Molly-Rhonda Fultz,Rollo-George Patterson,Pete-Riley Mills,Roger Davis-John Damon,Mildred Nash-Elizabeth Marner-Brooks,Carrie-Lynn Lowry,Shelley-Alex Mann",David E. Durston,"hippie,grindhouse,motorcycle gang,rabies,bikies",27313.0,234041.0,82550.0,26.055567105626242
11937,11937,11937,11937,False,,0,Drama,,33294,tt0347016,Danish,Forbrydelser,"Anna, a young theology graduate, starts work as a prison chaplain. She becomes especially concerned about one inmate, Kate, regarded as difficult and withdrawn, but whom the other inmates credit with mysterious healing powers.",1.580642,http://img.omdbapi.com/?i=tt0347016&h=600&apikey=f3f2af9c,Zentropa_Entertainments,Denmark,2004-01-23,0.0,101.0,Dansk,Released,,In Your Hands,False,5.6,8.0,2004,"Anna-Ann Eleonora Jørgensen,Kate-Trine Dyrholm,Henrik-Nicolaj Kopernikus,Marion-Sonja Richter,Jossi-Sarah Boberg,-Lars Ranthe,-Henrik Prip,-Jens Albinus,-Kirsten Olesen,-Mette Munk Plum,-Benedikte Hansen,-Petrine Agger,-Mia Lyhne,-Helle Hertz,-Lisbet Lundquist,-Luna Worsøe Mollerup,-Jens Rosenberg,-Jens Zacho Böye,-Lars Oluf Larsen,-Marie Katrine Rasch,-Luca Miceli,-Pauli Ryberg",Annette K. Olesen,"independent film,dogme 95,woman director",33294.0,90248.0,9463.0,26.055567105626242
11456,11456,11456,11456,False,,12000000,"Comedy,Drama",,14799,tt0470765,English,For Your Consideration,"Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.",12.142183,http://img.omdbapi.com/?i=tt0470765&h=600&apikey=f3f2af9c,Shangri-La_Entertainment,United_States_of_America,2006-11-22,5542025.0,86.0,English,Released,,For Your Consideration,False,5.9,44.0,2006,"Marilyn Hack-Catherine O'Hara,Victor Allan Miller-Harry Shearer,Callie Webb-Parker Posey,Brian Chubb-Christopher Moynihan,Corey Taft-John Michael Higgins,Pam Campanella-Carrie Aizley,Morley Orfkin-Eugene Levy,Cindy-Jane Lynch,Chuck-Fred Willard,Whitney Taylor Brown-Jennifer Coolidge,Jay Berman-Christopher Guest,Simon Whitset-Jim Piddock,Sandy Lane-Ed Begley Jr.,Philip Koontz-Bob Balaban,Lane Iverson-Michael McKean,Studio Gate Guard-Stephen Rannazzisi,Junior Agent-Simon Helberg,Martin Gibb-Ricky Gervais,Hate It Film Critic-Michael Hitchcock,Love It Film Critic-Don Lake,Mary Pat Hooligan-Rachael Harris,Marketing Person-Richard Kind,Marketing Person-Sandra Oh,Paper Badge Sergeant-Paul Dooley,Paper Badge Officer-John Krasinski,Whitney's Assistant-Jordan Black,First PA-Scott Adsit,Talk Show Host-Craig Bierko",Christopher Guest,,,,,26.055567105626242
10967,10967,10967,10967,False,,0,"Drama,Mystery",,25428,tt0322700,English,I Love Your Work,"A fictional movie star, Gray Evans, goes through the disintegration of his marriage, his gradual mental breakdown, and his increasing obsession with a young film student who reminds Gray of his own life before becoming famous. A dark psychological drama, I Love Your Work explores the pressures of fame and the difference between getting what you want and wanting what you get.",1.224042,http://img.omdbapi.com/?i=tt0322700&h=600&apikey=f3f2af9c,,,2003-10-05,0.0,111.0,Deutsch,Released,,I Love Your Work,False,6.5,2.0,2003,"Jane-Marisa Coughlan,Samantha-Judy Greer,Charlotte-Shalom Harlow,Yehud-Jared Harris,John-Joshua Jackson,Goateed Man-Nicky Katt,Larry Hortense-Jason Lee,Mia Lang-Franka Potente,Gray Evans-Giovanni Ribisi,Shana-Christina Ricci,Stiev-Vince Vaughn",Adam Goldberg,,,,,26.055567105626242
10597,10597,10597,10597,False,,2500000,"Drama,Mystery,Romance",,47540,tt0337656,English,Keep Your Distance,"In the perfectly normal town of Louisville, KY, there is a perfectly normal man living the perfect life. David Dailey is a man who has it all: A great career, a community that adores him, and an enduring marriage. But beneath the surface, David's idyllic world is crumbling. He's haunted by a series of mysterious notes that warn of an imminent fall from grace...",5.558013,http://img.omdbapi.com/?i=tt0337656&h=600&apikey=f3f2af9c,"Lunacy_Unlimited_Productions,Blue_&_Grey_Film_Ventures",United_States_of_America,2005-09-02,0.0,94.0,English,Released,Everyone you trust has the power to betray you.,Keep Your Distance,False,3.7,5.0,2005,"David Dailey-Gil Bellows,Melody Carpenter-Jennifer Westfeldt,Sean Voight-Christian Kane,Susan Dailey-Kim Raver,Whit Harrington-Jamie Harrold,Holly-Elizabeth Peña,Brooks Voight-Stacy Keach,Kevin-Gary Anthony Williams,Dr. Havice-Cynthia Martells,Gus-Dennis Burkley,Dream Girl-Brooke L. Berry,Dr. Floyd Beasley-Rick Overton,Lindsay-Jenny McShane",Stu Pollard,suspense,47540.0,115587.0,39797.0,26.055567105626242
10068,10068,10068,10068,False,,0,"Drama,Romance,Thriller",,53116,tt0177747,Spanish,Entre las piernas,"Miranda, a sex addict, works for a radio station and is married to a cop. She signs up for therapy in order to deal with her sex addiction. Also in the group is Javier, a sex-phone junkie. The two misfits hit it off and a torid affair ensues. But things get a little complicated when Javier finds out that this phone sex trysts have been secretly taped and being distributed all over Madrid, and that his ex-wife is living with his business partner. Elsewhere, while investigating a murder case, Felix discovers Miranda's affair with Javier.",1.821541,http://img.omdbapi.com/?i=tt0177747&h=600&apikey=f3f2af9c,"Bocaboca_Producciones_S.A.,Aurum_Producciones","Spain,France",1999-01-22,0.0,115.0,Español,Released,,Between Your Legs,False,5.8,9.0,1999,"Miranda-Victoria Abril,Javier-Javier Bardem,Jareño-Juan Diego,Anastasio-Roberto Alvarez,Claudio-Sergi López,Felix-Carmelo Gómez,-Marina San José",Manuel Gómez Pereira,"sex,adultery,radio,murder,dog",,,,26.055567105626242
10006,10006,10006,10006,False,,0,Comedy,,13618,tt0287138,English,Who's Your Daddy?,"An adopted Ohio high school senior discovers he is the inherited heir to a porn empire. Dropped into a bitter power struggle, his new flock of beautiful co-workers come to his aid.",12.241881,http://img.omdbapi.com/?i=tt0287138&h=600&apikey=f3f2af9c,Middle_Fork_Productions,United_States_of_America,2004-01-07,0.0,105.0,English,Released,,Who's Your Daddy?,False,4.6,24.0,2004,"Chris Hughes-Brandon Jack James,Beverly Hughes-Colleen Camp,Brookes-Kadeem Hardison,Kate Reeves-Christine Lakin,Elissa Bauer-Ali Landry,Brittany Van Horn-Marnette Patterson,Murphy-Robert Ri'chard,Ms. Harding-Lin Shaye,Bobby-Josh Jacobson,Volleyball Girl-Sarena Mobley,Duncan Mack-William Atherton,Patty Landry-Jolie Jenkins,Lori-Leslie Appleyard,Danny Hughes-Justin Berfield,Hudson Reed-Ryan Bittle,Katerinna-Tara Boger,Honey Mack-Shera Danese,Heather McKay-Patsy Kensit,Austin-Andrew Leeds,Nat-San Wang-Alec Mapa,Kevin Studney-Harry S. Murphy,Peter Mack-Wayne Newton,Lolli-Pop Angel-Ileanna Simancas,Angel Wanna-Be-Carrie Stevens,Scooter-Martin Starr,Adam Torey-Charlie Talbert,Carl Hughes-Dave Thomas,Michael Hunt-Robert Torti,Angel-Allison McCurdy,Angel-Pamela Paulshock,Angel-Tanisha Williams,Angel-Natasha Diakova,Angel-Azalea Davila,Angel-Elisha Choice,The Arnold Horshack Experience-Kevin Murphy,Mr. Torkenbush-Andrew Shaifer",Andy Fickman,sex,,,,26.055567105626242
41712,41712,41712,41712,False,,0,Drama,,352199,tt4898888,Italian,Per amor vostro,"An extremely mannered and increasingly preposterous tale of a fortysomething woman who has to deal with an abusive, double-dealing husband and a handsome, soap-actor lover who seems to be too good to be true.",0.536357,http://img.omdbapi.com/?i=tt4898888&h=600&apikey=f3f2af9c,,Italy,2015-09-03,0.0,110.0,Italiano,Post Production,,For Your Sake,False,6.0,6.0,2015,"-Valeria Golino,-Massimiliano Gallo,-Adriano Giannini,-Elisabetta Mirra,-Edoardo Crò,-Daria D'Isanto,-Salvatore Cantalupo,-Rosaria Di Ciocco",Giuseppe M. Gaudino,,,,,26.055567105626242
46489,46489,46489,46489,False,,0,"Drama,Comedy,Foreign",,81313,tt0379063,English,Zmruz oczy,"The story of a spirited ten-year-old girl who has run away from her proudly affluent parents in town and finds grudging refuge with the slightly slovenly caretaker of an abandoned farm, an ex-teacher.",0.248723,http://img.omdbapi.com/?i=tt0379063&h=600&apikey=f3f2af9c,,,2003-10-24,0.0,88.0,,Released,,Squint Your Eyes,False,8.0,2.0,2003,"Jasiek-Zbigniew Zamachowski,Mala-Ola Prószynska,Sosnowski-Rafal Guzniczak,Mala's Mother-Małgorzata Foremniak,Mala's Father-Andrzej Chyra",Andrzej Jakimowski,,,,,26.055567105626242
8223,8223,8223,8223,False,,15000000,"Music,Drama,Romance",http://www.newline.com/properties/raiseyourvoice.html,14024,tt0361696,English,Raise Your Voice,"Raise Your Voice is a coming-of-age story centered around a small-town singer, brokenhearted by the death of her brother in a car crash, who had secretly submitted her for a summer session at a performing arts academy in Los Angeles. In the performing arts academy, she experiences a whole new way of life in the big city, far from the small town lifestyle she's used to.",4.387004,http://img.omdbapi.com/?i=tt0361696&h=600&apikey=f3f2af9c,"New_Line_Cinema,FilmEngine,Brookwell-McNamara_Entertainment,ChickFlick_Productions",United_States_of_America,2004-08-10,14867514.0,103.0,"English,Français",Released,Don't Hold Back ...Don't Give Up.,Raise Your Voice,False,6.0,221.0,2004,"Teresa 'Terri' Fletcher-Hilary Duff,Jay Corgan-Oliver James,Simon Fletcher-David Keith,Engelbert  ""Kiwi"" Wilson-Johnny Lewis,Francis Fletcher-Rita Wilson,Denise Gilmore-Dana Davis,Robin Childers-Lauren C. Mayhew,Sloane-Kat Dennings,Paul Fletcher-Jason Ritter,Nina Fletcher-Rebecca De Mornay,Mr. Torvald-John Corbett,Mr. Gantry-James Avery",Sean McNamara,"music,life's dream,aspiring singer,singer,teenager,death of brother,grieving,music school,overprotective father",,,,26.055567105626242
18144,18144,18144,18144,False,,20000000,"Comedy,Romance",http://www.whatsyournumbermovie.com/,63492,tt0770703,English,What's Your Number?,"Ally Darling (Anna Faris) is realizing she's a little lost in life. Her latest romance has just fizzled out, and she's just been fired from her marketing job. Then she reads an eye-opening magazine article that warns that 96 percent of women who've been with 20 or more lovers are unlikely to find a husband. Determined to turn her life around and prove the article wrong, Ally embarks on a mission to find the perfect mate from among her numerous ex-boyfriends.",6.958086,http://img.omdbapi.com/?i=tt0770703&h=600&apikey=f3f2af9c,"Regency_Enterprises,Contrafilm,New_Regency_Pictures",United_States_of_America,2011-09-30,30426096.0,106.0,English,Released,Ally's looking for the best ex of her life.,What's Your Number?,False,6.2,689.0,2011,"Colin Shea-Chris Evans,Ally Darling-Anna Faris,Simon Forester-Martin Freeman,Disgusting Donald-Chris Pratt,Daisy Darling-Ari Graynor,Ava Darling-Blythe Danner,Mr. Darling-Ed Begley Jr.,Jake Adams-Dave Annable,Roger the Boss-Joel McHale,Rick-Zachary Quinto,Sheila-Eliza Coupe,Dave Hansen-Mike Vogel,Gerry Perry-Andy Samberg,Eddie Vogel-Oliver Jackson-Cohen,Dr. Barrett Ingold-Thomas Lennon,Tom Piper-Anthony Mackie,Justin-Jackson Nicoll,Jacinda-Ivana Miličević,Eileen-Heather Burns,Katie-Kate Simses,Jamie-Tika Sumpter,Cara-Denise Vasi,Brad-Jason Bowen,Gene-Tyler Peck,Sheila's Mom-Jacquelyn Doucette,Plant Lady-Sondra James,Boyfriend Rick-Zachary Quinto,14 Year Old Ally-Nadine Jacobson,14 Year Old Jake-Colby Parsons,Jay-Aziz Ansari,Kevin-Ed Jewett,Maître D' at Italian Restaurant-Lonnie Farmer,Man at Library-Dale Place,Officiant at Wedding-Bronwen Booth,Wedding Singer (uncredited)-John Franchi,High-End Restaurant Patron / Commuter / Dancing Wedding Guest (uncredited)-Dan Marshall,Wedding Guest (uncredited)-Stephanie Atkinson",Mark Mylod,"based on novel,loser,magazine,womanizer,mission,search,boyfriend,husband,fired,past relationship",,,,26.055567105626242
35662,35662,35662,35662,False,,0,"Action,Comedy",http://jakal.co.kr/index.htm,159230,tt2652756,Korean,자칼이 온다,"Clumsy and off-the-wall hit man Bong Min-jung (Song Ji-hyo) is hired to kill top Hallyu star Choi Hyun (Kim Jaejoong). She ambushes him at Paradise Hotel in Seong-ju where the cops are on a stakeout for serial killer ""Jackal"". However Min-jung realizes that Hyun is her favorite star, and Hyun finds out that her client is his ex-girlfriend. Then Angela arrives and the two meet Hyun, her boy toy, she is unintentionally stabbed to death by Min-jung. Curious chemistry develops between the two, and he decides to help her.",1.322781,http://img.omdbapi.com/?i=tt2652756&h=600&apikey=f3f2af9c,"Lotte_Entertainment,Nomad_Films",South_Korea,2012-11-15,1261947.0,107.0,한국어/조선말,Released,,Code Name: Jackal,False,5.4,16.0,2012,"Bong Min-jung-Song Ji-hyo,Choi Hyun-Kim Jae-joong,Team Leader Shin-Han Sang-jin,Chief Detective Ma-Oh Dal-su,Angela-Kim Sung-ryung",Bae Hyeong-jun,,,,,26.055567105626242
32792,32792,32792,32792,False,,0,"Comedy,Crime,Thriller",http://www.killyourfriendsfilm.co.uk/,318922,tt2474958,English,Kill Your Friends,"In the late 1990s, a drug-addled nihilist resorts to murder to climb the ladder of the London music industry.",5.846711,http://img.omdbapi.com/?i=tt2474958&h=600&apikey=f3f2af9c,"Altitude_Film_Entertainment,AI-Film,Unigram",United_Kingdom,2015-11-06,0.0,100.0,English,Released,Getting to the top can be murder,Kill Your Friends,False,5.9,121.0,2015,"Steven Stelfox-Nicholas Hoult,Darren-Craig Roberts,Rebecca-Georgia King,Parker-Hall-Tom Riley,Derek Sommers-Jim Piddock,DC Woodham-Edward Hogg,Waters-James Corden,Trellick-Joseph Mawle,Rent-Ed Skrein,Nikki-Ella Smith,Rudi-Moritz Bleibtreu,Barbara-Rosanna Arquette,Bill-Al Weaver,Hasting-Bronson Webb,Ross-Damien Molony,Suzy Songbird-Alannah Olivia,Tiffany-Danielle Walters,Kate-Rosanna Hoult,John-Hugh Skinner,MTV Newsreader-Dinita Gohil",Owen Harris,"magazine,music",,,,26.055567105626242
32561,32561,32561,32561,False,,0,"Drama,Romance",,41636,tt0218298,English,Get Your Stuff,"When a difficult foster child needs a home, a gay couple is thrown into parenthood.",1.011466,http://img.omdbapi.com/?i=tt0218298&h=600&apikey=f3f2af9c,"Peoples_Productions,Revision_Studios,Wey-Man_Productions",United_States_of_America,2000-06-17,0.0,93.0,English,Released,,Get Your Stuff,False,5.6,5.0,2000,"Brian-Blayn Barbosa,Frank-John Barkworth,George-Jason Boegh,Tom-Jim J. Bullock,Lillian-Patience Cleveland,Adam-Jasper Cole,Ron-David Faustino",Max Mitchell,"gay,adoption,foster parents,musical,gay parent,foster child",,,,26.055567105626242
